Date,CP3M
11/30/2023,5.39
11/24/2023,5.44
11/17/2023,5.27
11/10/2023,5.43
11/3/2023,5.47
10/27/2023,5.49
10/13/2023,5.44
10/6/2023,5.44
9/29/2023,5.53
9/22/2023,5.41
9/15/2023,5.52
9/8/2023,5.48
9/1/2023,5.44
8/25/2023,5.4
8/18/2023,5.43
8/11/2023,5.51
8/4/2023,5.46
7/28/2023,5.53
7/21/2023,5.54
7/14/2023,5.22
7/7/2023,5.29
6/30/2023,5.22
6/23/2023,5.16
6/16/2023,5.19
6/9/2023,5.17
6/2/2023,5.26
5/19/2023,5.23
5/12/2023,5.04
5/5/2023,5.15
4/28/2023,5.1
4/21/2023,5.02
4/14/2023,5.01
4/7/2023,5.09
3/31/2023,4.98
3/24/2023,4.98
3/17/2023,4.74
3/3/2023,4.84
2/24/2023,4.76
2/17/2023,4.7
2/10/2023,4.7
2/3/2023,4.73
1/27/2023,4.71
1/20/2023,4.6
1/13/2023,4.67
1/6/2023,4.67
12/30/2022,4.56
12/23/2022,4.55
12/16/2022,4.64
12/9/2022,4.57
12/2/2022,4.47
11/25/2022,4.55
11/18/2022,4.59
11/11/2022,4.6
11/4/2022,4.27
10/28/2022,3.83
10/21/2022,4.19
10/14/2022,3.58
10/7/2022,3.55
9/30/2022,3.48
9/23/2022,3.51
9/16/2022,3.24
9/9/2022,2.9
9/2/2022,2.81
8/26/2022,2.75
8/19/2022,2.82
8/12/2022,2.71
8/5/2022,2.68
7/29/2022,2.75
7/22/2022,2.63
7/15/2022,2.45
7/8/2022,2.37
7/1/2022,2.77
6/24/2022,2.27
6/17/2022,2.05
6/10/2022,1.33
6/3/2022,1.58
5/27/2022,1.52
5/20/2022,1.4
5/13/2022,1.4
5/6/2022,1.27
4/29/2022,1.28
4/22/2022,1.11
4/15/2022,0.81
4/8/2022,0.81
4/1/2022,0.61
3/25/2022,0.75
3/18/2022,0.8
3/11/2022,0.5
3/4/2022,1.12
2/25/2022,0.42
2/18/2022,0.39
2/11/2022,0.36
2/4/2022,0.29
1/28/2022,0.3
1/21/2022,0.23
1/14/2022,0.21
1/7/2022,0.18
12/31/2021,0.13
12/24/2021,0.18
12/17/2021,0.17
12/10/2021,0.17
12/3/2021,0.17
11/26/2021,0.15
11/19/2021,0.14
11/12/2021,0.13
11/5/2021,0.11
10/29/2021,0.11
10/22/2021,0.13
10/15/2021,0.11
10/8/2021,0.1
10/1/2021,0.1
9/24/2021,0.09
9/17/2021,0.1
9/10/2021,0.09
9/3/2021,0.1
8/27/2021,0.09
8/20/2021,0.09
8/13/2021,0.1
8/6/2021,0.09
7/30/2021,0.09
7/23/2021,0.11
7/16/2021,0.08
7/9/2021,0.11
7/2/2021,0.1
6/25/2021,0.11
6/18/2021,0.07
6/11/2021,0.08
6/4/2021,0.09
5/28/2021,0.08
5/21/2021,0.09
5/14/2021,0.12
5/7/2021,0.15
4/30/2021,0.11
4/23/2021,0.12
4/16/2021,0.14
4/9/2021,0.12
4/2/2021,0.11
3/26/2021,0.07
3/19/2021,0.12
3/12/2021,0.1
3/5/2021,0.12
2/26/2021,0.15
2/19/2021,0.13
2/12/2021,0.06
2/5/2021,0.08
1/29/2021,0.14
1/22/2021,0.11
1/15/2021,0.13
1/8/2021,0.13
1/1/2021,0.2
12/25/2020,0.14
12/18/2020,0.25
12/11/2020,0.14
12/4/2020,0.14
11/27/2020,0.12
11/20/2020,0.14
11/13/2020,0.14
11/6/2020,0.15
10/30/2020,0.13
10/23/2020,0.08
10/16/2020,0.14
10/9/2020,0.12
10/2/2020,0.14
9/25/2020,0.14
9/18/2020,0.13
9/11/2020,0.13
9/4/2020,0.13
8/28/2020,0.17
8/21/2020,0.12
8/14/2020,0.16
8/7/2020,0.14
7/31/2020,0.16
7/24/2020,0.13
7/17/2020,0.17
7/10/2020,0.17
7/3/2020,0.22
6/26/2020,0.22
6/19/2020,0.22
6/5/2020,0.15
5/29/2020,0.17
5/22/2020,0.23
5/15/2020,0.04
5/8/2020,0.19
3/27/2020,2.44
3/20/2020,2.12
3/13/2020,1.09
3/6/2020,0.86
2/28/2020,1.47
2/21/2020,1.58
2/14/2020,1.59
2/7/2020,1.66
1/31/2020,1.72
1/24/2020,1.61
1/17/2020,1.58
1/10/2020,1.61
1/3/2020,1.7
12/27/2019,1.65
12/20/2019,1.8
12/13/2019,1.71
12/6/2019,1.64
11/29/2019,1.79
11/22/2019,1.79
11/15/2019,1.63
11/8/2019,1.7
11/1/2019,1.76
10/25/2019,1.89
10/18/2019,1.91
10/11/2019,1.91
10/4/2019,1.98
9/27/2019,1.95
9/20/2019,2.06
9/13/2019,2.09
9/6/2019,2.05
8/30/2019,2.03
8/23/2019,2.03
8/16/2019,2.01
8/9/2019,2.08
8/2/2019,2.15
7/26/2019,2.25
7/19/2019,2.18
7/12/2019,2.28
7/5/2019,2.26
6/28/2019,2.22
6/21/2019,2.26
6/14/2019,2.31
6/7/2019,2.33
5/31/2019,2.39
5/24/2019,2.39
5/17/2019,2.36
5/10/2019,2.58
5/3/2019,2.44
4/26/2019,2.5
4/19/2019,2.45
4/12/2019,2.46
4/5/2019,2.47
3/29/2019,2.43
3/22/2019,2.32
3/15/2019,2.51
3/8/2019,2.47
3/1/2019,2.6
2/22/2019,2.51
2/15/2019,2.46
2/8/2019,2.53
2/1/2019,2.57
1/25/2019,2.58
1/18/2019,2.49
1/11/2019,2.67
1/4/2019,2.67
12/28/2018,2.77
12/21/2018,2.56
12/14/2018,2.77
12/7/2018,2.64
11/30/2018,2.6
11/23/2018,2.57
11/16/2018,2.49
11/9/2018,2.47
11/2/2018,2.51
10/26/2018,2.44
10/19/2018,2.36
10/12/2018,2.34
10/5/2018,2.3
9/28/2018,2.33
9/21/2018,2.21
9/14/2018,2.22
9/7/2018,2.19
8/31/2018,2.15
8/24/2018,2.15
8/17/2018,2.25
8/10/2018,2.15
8/3/2018,2.21
7/27/2018,2.18
7/20/2018,2.12
7/13/2018,2.19
7/6/2018,2.1
6/29/2018,2.2
6/22/2018,2.17
6/15/2018,2.17
6/8/2018,2.17
6/1/2018,2.16
5/25/2018,2.21
5/18/2018,2.23
5/11/2018,1.85
5/4/2018,2.2
4/27/2018,1.95
4/20/2018,1.95
4/13/2018,2.29
4/6/2018,2.29
3/30/2018,2.31
3/23/2018,2.15
3/16/2018,2.1
3/9/2018,2.09
3/2/2018,1.91
2/23/2018,1.93
2/16/2018,1.86
2/9/2018,1.72
2/2/2018,1.7
1/26/2018,1.64
1/19/2018,1.64
1/12/2018,1.65
1/5/2018,1.56
12/29/2017,1.65
12/22/2017,1.62
12/15/2017,1.65
12/8/2017,1.44
12/1/2017,1.39
11/24/2017,1.32
11/17/2017,1.34
11/10/2017,1.25
11/3/2017,1.3
10/27/2017,1.28
10/20/2017,1.23
10/13/2017,1.32
10/6/2017,1.24
9/29/2017,1.26
9/22/2017,1.24
