Date,AAA,BAA
11/24/2023, 5.1700 , 6.1700 
11/17/2023, 5.2800 , 6.3000 
11/10/2023, 5.4200 , 6.4200 
11/3/2023, 5.6100 , 6.6200 
10/27/2023, 5.7100 , 6.7100 
10/20/2023, 5.6700 , 6.6900 
10/13/2023, 5.4500 , 6.4700 
10/6/2023, 5.5500 , 6.5700 
9/29/2023, 5.3500 , 6.3500 
9/22/2023, 5.1200 , 6.1200 
9/15/2023, 5.0300 , 6.0800 
9/8/2023, 5.0200 , 6.0800 
9/1/2023, 4.8900 , 5.9700 
8/25/2023, 5.0300 , 6.0900 
8/18/2023, 5.0400 , 6.1100 
8/11/2023, 4.9100 , 5.9700 
8/4/2023, 4.8300 , 5.8900 
7/28/2023, 4.6600 , 5.7300 
7/21/2023, 4.6000 , 5.6800 
7/14/2023, 4.7000 , 5.7600 
7/7/2023, 4.7100 , 5.8000 
6/30/2023, 4.6100 , 5.7100 
6/23/2023, 4.6000 , 5.7000 
6/16/2023, 4.6800 , 5.7800 
6/9/2023, 4.7000 , 5.8000 
6/2/2023, 4.6800 , 5.8000 
5/26/2023, 4.7900 , 5.9100 
5/19/2023, 4.7200 , 5.8300 
5/12/2023, 4.6000 , 5.6900 
5/5/2023, 4.5500 , 5.6200 
4/28/2023, 4.4700 , 5.5400 
4/21/2023, 4.5300 , 5.6000 
4/14/2023, 4.4700 , 5.5100 
3/31/2023, 4.4900 , 5.6900 
3/24/2023, 4.5200 , 5.6500 
3/17/2023, 4.5900 , 5.7000 
3/10/2023, 4.6900 , 5.7500 
3/3/2023, 4.7600 , 5.8200 
2/24/2023, 4.7200 , 5.7900 
2/17/2023, 4.6000 , 5.6400 
2/10/2023, 4.4900 , 5.4800 
2/3/2023, 4.3400 , 5.3600 
1/27/2023, 4.3500 , 5.4200 
1/20/2023, 4.3000 , 5.4000 
1/13/2023, 4.3900 , 5.5100 
1/6/2023, 4.5700 , 5.7400 
12/30/2022, 4.7000 , 5.8600 
12/23/2022, 4.5100 , 5.6700 
12/16/2022, 4.2800 , 5.4400 
12/9/2022, 4.2900 , 5.4600 
12/2/2022, 4.5800 , 5.7500 
11/25/2022, 4.6400 , 5.8000 
11/18/2022, 4.8300 , 6.0000 
11/4/2022, 5.1500 , 6.3300 
10/28/2022, 5.2400 , 6.4100 
10/21/2022, 5.2300 , 6.4100 
10/14/2022, 5.0600 , 6.2100 
10/7/2022, 4.8500 , 5.9800 
9/30/2022, 4.8500 , 6.0000 
9/23/2022, 4.5900 , 5.7100 
9/16/2022, 4.4800 , 5.5900 
9/9/2022, 4.4800 , 5.5500 
9/2/2022, 4.3000 , 5.3700 
8/26/2022, 4.2000 , 5.2700 
8/19/2022, 4.0600 , 5.1300 
8/12/2022, 4.0000 , 5.0900 
8/5/2022, 3.9100 , 5.0300 
7/29/2022, 3.9200 , 5.0900 
7/22/2022, 4.0300 , 5.1900 
7/15/2022, 4.0900 , 5.2600 
7/8/2022, 4.1800 , 5.3200 
7/1/2022, 4.2500 , 5.3500 
6/24/2022, 4.2800 , 5.3500 
6/17/2022, 4.4100 , 5.4200 
6/10/2022, 4.1300 , 5.1100 
6/3/2022, 4.0300 , 5.0300 
5/27/2022, 4.0300 , 5.0700 
5/20/2022, 4.1800 , 5.1900 
5/13/2022, 4.1700 , 5.1300 
5/6/2022, 4.1900 , 5.0900 
4/29/2022, 3.9600 , 4.8800 
4/22/2022, 3.9200 , 4.8200 
