Date,5_YR_R,7_YR_R,10_YR_R
1/19/2003,-0.556338561,-0.812756041,-0.876533342
1/26/2003,-1.06227237,-1.046051124,-1.240688815
2/2/2003,-0.219049356,-0.268400849,-0.105380574
2/9/2003,-0.694320509,-0.639944869,-0.74800788
2/16/2003,-0.862965112,-0.847318276,-0.876533342
2/23/2003,-1.00094706,-0.860279114,-0.72658697
3/2/2003,-1.583537506,-1.421915423,-1.519160648
3/9/2003,-0.801639802,-0.88188051,-0.833691521
3/16/2003,-0.111730063,-0.328884759,-0.169643305
3/23/2003,3.414475268,3.334712092,4.32874784
3/30/2003,-0.495013251,-0.000543532,0.001723977
4/6/2003,-0.479681924,-0.691788221,-0.533798778
4/13/2003,0.976794191,1.088166853,1.008506757
4/20/2003,0.348209763,0.366680209,0.248064444
4/27/2003,0.716161623,0.599975291,0.333748085
5/4/2003,0.072245867,-0.605382635,-0.68374515
5/11/2003,-1.399561575,-0.985567213,-1.026479713
5/18/2003,-1.016278387,-1.279346206,-1.947578852
5/25/2003,-1.031609715,-1.244783972,-1.562002468
6/1/2003,0.352042595,0.293235461,0.451563092
6/8/2003,-0.682822013,-0.605382635,-0.255326945
6/15/2003,-1.445555558,-1.538562964,-1.797632481
6/22/2003,0.777486933,0.967199032,1.28697859
6/29/2003,0.24089047,0.379641047,0.558667643
7/6/2003,0.896304722,1.161611601,2.11703886
7/13/2003,0.919301713,0.962878753,0.52118105
7/20/2003,0.716161623,0.517889985,0.151670349
7/27/2003,1.160770121,1.140010205,1.458345871
8/3/2003,1.283420742,1.60660037,2.036710447
8/10/2003,-0.617663871,-0.311603642,-0.233906035
8/17/2003,-0.111730063,-0.000543532,0.173091259
8/24/2003,-0.418356614,-0.657225986,-0.790849701
8/31/2003,0.36354109,0.327797695,0.32303763
9/7/2003,0.152735337,0.167947361,0.2587749
9/14/2003,-1.418725735,-1.326869279,-1.326372456
9/21/2003,-0.203718028,-0.173354704,-0.083959664
9/28/2003,-0.709651837,-0.76091269,-0.855112431
10/5/2003,-0.985615732,-1.020129448,-1.026479713
10/12/2003,1.145438794,1.174572439,1.479766782
10/19/2003,0.38270525,0.418523561,0.242709217
10/26/2003,-0.33020148,-0.903481907,-1.374569504
11/2/2003,-0.357031304,-0.778193807,-1.112163354
11/9/2003,1.130107466,0.932636798,0.751455834
11/16/2003,-0.307204489,-0.311603642,-0.373141952
11/23/2003,-0.805472634,-0.933723862,-1.101452899
11/30/2003,0.643337817,0.911035401,0.997796302
12/7/2003,0.589678171,0.539491381,0.633640828
