Date,5_YR_R,7_YR_R,10_YR_R,UST_1M,UST_3M,UST_6M,UST_1Y,UST_2Y,UST_3Y,UST_5Y,UST_7Y,UST_10Y,UST_20Y,FF,CP3M,CP3M-FF,UST_3M-FF,UST_6M-FF,UST_1Y-FF,UST_5Y-FF,UST_10Y-FF,AAA_YLD,BAA_YLD,AAA_YLD-FF,BAA_YLD-FF,SOYBEAN,WHEAT,CORN,GOLD,ALUMIN,NICKEL,WTI OIL,COPPER,SP500,SP500_DIV,SP500_IND,SP500_PE,VIX,USDEUR,USDJPY,USDGBP,USDCHF,USDCAD,USDWBGD,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,HWI,HWIURATIO,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,ACOGNO,AMDMNOx,ANDENOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,BOGMBASE,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,CONSPI,WPSFD49207,WPSFD49502,WPSID61,WPSID62,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,UMCSENTx,DTCOLNVHFNM,DTCTHFNM,INVEST
1/19/2003,-0.556338561,-0.812756041,-0.876533342,-0.0344,-0.1193,-0.2550,-0.4224,-0.5149,-0.3005,-0.1125,-0.0677,0.0362,-0.0843,-0.0658,-0.1063,-0.0559,-0.0401,-0.1204,-0.2450,-0.0423,0.0701,-0.2033,-0.4013,-0.0988,-0.2354,-0.4094,-0.1951,-0.2173,0.1511,0.5721,0.2812,1.2263,0.4398,-1.2193,0.8655,-0.9153,-0.9812,0.4175,-0.7500,-0.9484,-0.2602,-0.5887,-0.5663,-0.5923,-0.356540257,-0.752045982,-0.355000842,-0.344649382,-0.477123597,0.382050862,0.496554433,0.517201026,0.741408993,0.013437848,1.850119733,0.032545528,0.205973923,0.354025113,-0.301650229,0.25447833,0.757441041,-0.616581594,0.274630793,0.038249929,0.00469458,1.010197289,0.353535457,-0.071914084,-0.009346064,-0.042147149,0.033043687,-0.22367194,-0.165121032,-0.23052266,-0.008573331,-0.098454077,-0.474789038,-0.15986461,-0.318547082,-0.56072568,-0.67706498,-0.268694221,-0.026628753,-0.275370512,-0.145955328,-0.217856147,0.301025634,0.171715655,-1.632969007,0.027989666,-1.46969437,1.019823283,0.695259242,1.452547586,0.747765156,1.181869997,1.024674761,0.853469416,1.594665916,0.686079683,1.21257601,0.455165049,0.765154851,0.043045352,-0.230486658,0.088836095,-0.223499738,-0.001527453,0.285185634,-0.277044141,-0.242314814,-0.336287522,-0.013435677,-0.32195816,0.000488379,0.073297967,0.260742704,0.917058235,0.864204296,1.032954464,0.363872393,0.264705641,0.744709513,0.063372945,0.65050972,-0.591572447,0.869180683,0.278067908,-0.238661519,0.550361046,0.828421604,0.818679696,0.928159224,0.160192679,0.835149171,0.531312406,-0.98381815,-0.680961352,-0.269725562,-0.921685327,0.190085412,-0.270011734,-0.586374207
1/26/2003,-1.06227237,-1.046051124,-1.240688815,-0.1362,-0.2796,-0.5106,-0.8216,-0.9953,-1.1890,-1.4547,-1.4410,-1.3311,-1.2381,0.1222,-0.2590,-0.3065,-0.3219,-0.4613,-0.6835,-1.1887,-1.0608,-1.1577,-0.9158,-0.8838,-0.7066,0.5727,0.1241,0.2617,1.3152,1.1008,1.2757,-0.3608,0.3273,-1.9445,1.3857,-1.9936,-2.2467,1.7516,-1.0707,-0.0217,-0.9670,-0.7363,-0.8458,-0.2101,-0.370089802,-0.763524732,-0.433055279,-0.710949957,-0.742601201,0.22748499,0.340531249,0.40014421,0.556327476,-0.174530784,1.897093524,-0.003032294,0.066560359,0.097360733,-0.292530317,0.079484482,1.278395926,-0.29556089,0.08829575,-0.460715755,-0.262476293,0.60060001,0.168917439,0.052071761,-0.009346064,-0.098866268,0.063380574,-0.115516504,-0.433940675,0.355294549,0.130716982,-0.154571272,-0.592965813,-0.133803097,-0.472445881,-0.657009874,-0.73714656,-0.444480613,-0.070989499,-0.239077102,0.054665119,-0.242111845,0.352992165,0.043608004,-1.753515284,0.500752612,-1.46969437,0.937643674,0.685573205,1.26284188,0.70028237,1.114071008,1.040564433,0.84079979,1.526565261,0.695684375,1.289979591,0.322766963,0.682084916,0.01465259,-0.057164081,0.401474284,0.107917569,0.018067667,0.208765709,-0.294985031,-0.081919274,-0.732366757,-0.036680779,-0.239083041,0.306842297,0.063431935,0.258901552,0.551597689,0.49849037,0.957434519,-0.141615599,0.68986275,0.582407158,0.2496642,0.340164413,-0.590674038,0.648394924,0.555724443,-0.582929236,0.181406066,0.712315492,0.611100191,0.813007431,0.641319515,0.449215727,0.882008739,-0.157066123,0.58869613,-0.410114408,-0.797213477,0.320132255,-0.385875081,0.270335889
2/2/2003,-0.219049356,-0.268400849,-0.105380574,0.0675,0.0173,-0.1414,0.0033,0.5145,0.5669,0.5191,0.4621,0.3832,0.0990,0.1791,0.0464,-0.0662,-0.1340,-0.2538,-0.1460,0.2772,0.1640,-0.2033,-0.9158,-0.2573,-0.7420,-0.2611,0.1232,0.2584,-0.0769,-0.0943,-0.8693,0.1082,0.8481,-0.3317,0.2809,-0.0551,-0.2096,-0.1005,0.4317,1.2653,-0.6331,0.5723,0.0369,0.5667,-0.383639347,-0.775003483,-0.511109716,-1.077250532,-1.008078806,0.072919119,0.184508065,0.283087394,0.37124596,-0.362499417,1.944067315,-0.038610117,-0.072853206,-0.159303647,-0.283410404,-0.095509367,1.799350811,0.025459813,-0.098039294,-0.959681439,-0.529647167,0.19100273,-0.015700579,0.176057606,-0.009346064,-0.155585388,0.09371746,-0.007361067,-0.702760318,0.941111758,0.270007295,-0.210688467,-0.711142588,-0.107741584,-0.62634468,-0.753294068,-0.79722814,-0.620267004,-0.115350246,-0.202783692,0.255285566,-0.266367543,0.404958695,-0.084499646,-1.874061561,0.973515558,-1.46969437,0.855464064,0.675887168,1.073136174,0.652799583,1.046272018,1.056454105,0.828130163,1.458464607,0.705289067,1.367383173,0.190368876,0.599014981,-0.013740171,0.116158496,0.714112473,0.439334876,0.037662788,0.132345784,-0.31292592,0.078476265,-1.128445992,-0.059925882,-0.156207922,0.613196214,0.053565903,0.2570604,0.186137144,0.132776445,0.881914574,-0.64710359,1.115019859,0.420104804,0.435955456,0.029819106,-0.58977563,0.427609165,0.833380977,-0.927196954,-0.187548915,0.59620938,0.403520686,0.697855638,1.122446351,0.063282283,1.232705072,0.669685904,1.858353612,-0.550503254,-0.672741627,0.450179099,-0.501738428,1.127045984
2/9/2003,-0.694320509,-0.639944869,-0.74800788,-0.0344,-0.1193,-0.0562,-0.0765,-0.3776,-0.2370,0.0454,-0.0480,-0.2495,-0.5157,-0.6125,-0.0299,0.3423,0.4107,0.4922,0.4529,0.4388,0.2204,-1.0516,-1.1216,-0.3346,-0.3913,-0.4222,0.6778,0.1326,0.1201,-0.2741,0.3754,0.8405,-1.1020,-1.3292,0.9994,-0.8025,-1.0721,0.8572,-0.4063,0.2319,0.6804,-0.3882,0.0477,-0.1114,-0.293681002,-0.593984189,-0.285052731,-0.641613822,-0.552289732,-0.014460106,0.132802561,0.219334654,0.282462984,-0.252026342,1.412077083,-0.017518607,-0.200717308,-0.221697526,-0.152875485,-0.054785359,0.950569626,0.083642616,-0.054569439,-0.875145931,-0.467719571,0.052198048,-0.038136272,0.134728991,-0.102462146,-0.087449035,0.032143896,-0.001855002,-0.417484896,0.567394423,0.26908128,-0.227702785,-0.645327249,-0.256327401,-0.536419006,-0.692616258,-0.714416049,-0.612979169,-0.147348593,-0.232258058,0.119440146,-0.247396765,0.430712239,-0.122918122,-1.713333192,0.264371139,-1.430948404,0.892357143,0.709219431,1.208909569,0.690741446,1.012748203,1.022468005,0.819555894,1.475707752,0.69970381,1.263450473,0.197469916,0.362300886,0.084797932,-0.030747194,0.429481927,0.218390005,0.001536747,-0.05053072,-0.273000804,0.091282154,-0.8724491,-0.044879968,0.000686656,0.071047719,0.030249871,0.201494505,0.067469141,0.009632073,0.67561149,0.002977524,0.640739783,-0.056489044,0.02348009,-0.286650967,-0.396000307,-0.082934838,0.764936407,-0.354723433,-0.414009374,0.147274582,-0.054461595,0.289283512,0.925300706,-0.369774272,1.249259584,0.504577034,1.270186716,-0.479514028,-0.658911422,-0.132770378,-0.245540577,0.78352911
2/16/2003,-0.862965112,-0.847318276,-0.876533342,0.0506,-0.0005,-0.1130,-0.3692,-0.7208,-0.7870,-0.7836,-0.5385,-0.3719,-0.0197,0.2304,-0.1826,-0.3031,-0.1904,-0.2785,-0.4525,-0.7489,-0.4259,-0.2033,-0.0926,-0.2904,-0.2071,0.8127,0.1982,0.0337,-2.2234,0.0232,0.4624,0.8368,-0.3209,0.1989,-0.1631,-0.2674,0.2238,-0.4167,0.2203,0.1079,0.7223,0.3497,0.1665,0.1609,-0.203722657,-0.412964895,-0.058995747,-0.205977112,-0.096500659,-0.10183933,0.081097057,0.155581915,0.193680009,-0.141553268,0.880086852,0.003572903,-0.32858141,-0.284091405,-0.022340566,-0.014061351,0.10178844,0.141825418,-0.011099584,-0.790610422,-0.405791974,-0.086606634,-0.060571966,0.093400376,-0.195578229,-0.019312683,-0.029429668,0.003651063,-0.132209475,0.193677088,0.268155264,-0.244717102,-0.579511909,-0.404913217,-0.446493333,-0.631938449,-0.631603959,-0.605691334,-0.17934694,-0.261732425,-0.016405274,-0.228425987,0.456465784,-0.161336597,-1.552604822,-0.444773281,-1.392202437,0.929250223,0.742551694,1.344682963,0.728683309,0.979224388,0.988481904,0.810981624,1.492950898,0.694118552,1.159517774,0.204570955,0.125586791,0.183336035,-0.177652883,0.14485138,-0.002554867,-0.034589294,-0.233407224,-0.233075688,0.104088043,-0.616452209,-0.029834054,0.157581233,-0.471100777,0.006933838,0.14592861,-0.051198862,-0.113512299,0.469308405,0.653058637,0.166459708,-0.533082891,-0.388995275,-0.60312104,-0.202224985,-0.593478841,0.696491836,0.217750088,-0.640469834,-0.301660216,-0.512443876,-0.119288614,0.728155061,-0.802830827,1.265814095,0.339468163,0.68201982,-0.408524802,-0.645081216,-0.715719855,0.010657275,0.440012235
2/23/2003,-1.00094706,-0.860279114,-0.72658697,0.0548,0.0885,0.0502,-0.0233,-0.0974,-0.3058,-0.7490,-0.7691,-0.5709,-0.4186,0.0310,0.0464,0.0230,0.0444,0.0080,-0.0422,-0.5910,-0.4409,-0.0973,-0.2984,-0.0877,-0.2248,0.0270,-0.3809,-0.8653,-0.0896,-0.0837,0.5214,-0.6344,0.7262,0.5914,-0.2461,0.6467,-4.9903,-0.7118,0.0000,-1.1144,1.3828,0.1622,-1.0162,-0.2268,-0.113764312,-0.231945602,0.167061238,0.229659599,0.359288415,-0.189218555,0.029391553,0.091829176,0.104897034,-0.031080193,0.34809662,0.024664413,-0.456445512,-0.346485284,0.108194354,0.026662656,-0.746992746,0.200008221,0.03237027,-0.706074914,-0.343864378,-0.225411315,-0.08300766,0.052071761,-0.288694311,0.048823669,-0.091003232,0.009157128,0.153065946,-0.180040247,0.267229249,-0.261731419,-0.51369657,-0.553499033,-0.356567659,-0.571260639,-0.548791868,-0.5984035,-0.211345287,-0.291206791,-0.152250694,-0.209455208,0.482219328,-0.199755073,-1.391876453,-1.1539177,-1.353456471,0.966143302,0.775883957,1.480456357,0.766625172,0.945700573,0.954495804,0.802407355,1.510194043,0.688533295,1.055585074,0.211671994,-0.111127304,0.281874138,-0.324558573,-0.139779167,-0.223499738,-0.070715335,-0.416283728,-0.193150572,0.116893932,-0.360455318,-0.01478814,0.314475811,-1.013249272,-0.016382195,0.090362715,-0.169866865,-0.236656671,0.263005321,1.303139751,-0.307820368,-1.009676738,-0.801470641,-0.919591113,-0.008449662,-1.104022845,0.628047266,0.790223609,-0.866930294,-0.750595014,-0.970426157,-0.52786074,0.531009416,-1.235887383,1.282368606,0.174359293,0.093852924,-0.337535577,-0.63125101,-1.298669332,0.266855127,0.096495361
3/2/2003,-1.583537506,-1.421915423,-1.519160648,0.3180,0.1717,-0.0207,-0.5023,-0.6121,-0.8241,-1.1142,-1.1124,-1.1117,-1.0656,0.2702,-0.0299,-0.1898,-0.0871,-0.2488,-0.5798,-1.0270,-0.9969,-0.7335,-0.9158,-0.6848,-0.7987,0.1216,-1.0765,-0.0155,-0.2360,0.4148,-0.1546,0.4991,-0.1258,-0.4005,0.2945,-0.4163,-0.0231,-0.1848,-0.1016,-0.3917,0.6074,-0.6212,-1.0679,-0.2958,-0.023805967,-0.050926308,0.393118223,0.665296309,0.815077489,-0.276597779,-0.022313951,0.028076436,0.016114058,0.079392881,-0.183893611,0.045755922,-0.584309614,-0.408879164,0.238729273,0.067386664,-1.595773931,0.258191023,0.075840125,-0.621539405,-0.281936781,-0.364215997,-0.105443354,0.010743146,-0.381810394,0.116960022,-0.152576796,0.014663193,0.438341367,-0.553757582,0.266303234,-0.278745736,-0.447881231,-0.70208485,-0.266641985,-0.510582829,-0.465979778,-0.591115665,-0.243343633,-0.320681157,-0.288096114,-0.19048443,0.507972872,-0.238173549,-1.231148084,-1.863062119,-1.314710504,1.003036381,0.809216219,1.616229752,0.804567035,0.912176758,0.920509703,0.793833085,1.527437189,0.682948037,0.951652374,0.218773033,-0.3478414,0.380412241,-0.471464263,-0.424409714,-0.44444461,-0.106841376,-0.599160232,-0.153225455,0.129699821,-0.104458426,0.000257775,0.471370388,-1.555397767,-0.039698227,0.03479682,-0.288534868,-0.359801042,0.056702237,1.953220864,-0.782100444,-1.486270586,-1.213946007,-1.236061185,0.18532566,-1.614566848,0.559602695,1.36269713,-1.093390753,-1.199529812,-1.428408439,-0.936432866,0.333863771,-1.668943938,1.298923117,0.009250423,-0.494313972,-0.266546351,-0.617420805,-1.881618809,0.523052979,-0.247021514
3/9/2003,-0.801639802,-0.88188051,-0.833691521,-0.3230,-0.4281,-0.3970,-0.6885,-1.2469,-1.3582,-1.4547,-1.4018,-1.3515,-1.0117,-0.6581,-0.1826,0.2324,0.2041,0.2946,0.0568,-0.6737,-0.5611,-0.7335,-0.7100,-0.0840,-0.0795,-0.6176,0.0237,0.7852,0.0323,-0.5544,0.1248,0.5625,-0.3342,-0.6628,0.4808,-0.5981,-0.4408,0.4386,-1.4624,-0.6404,-1.4812,-0.7866,-1.0430,-1.1803,0.013961933,0.028824937,0.372566088,0.458589351,0.583297954,-0.342060849,-0.162725313,-0.104185492,-0.122161462,0.019759189,-0.373967798,-0.065160201,-0.54356827,-0.430520042,0.118044465,-0.066325734,-1.393138838,0.086605828,-0.064816895,-0.506901009,-0.267489346,-0.120326071,-0.066229413,0.043806038,-0.065215713,0.074896219,-0.059951907,0.174842321,0.424323308,-0.216785118,0.242518453,-0.250682257,-0.45178389,-0.685382295,-0.122100903,-0.61455525,-0.576543371,-0.675680364,-0.209785581,-0.28930873,-0.290644539,-0.141719714,0.621771013,-0.240760409,-1.359730779,-1.484851762,-1.407700824,0.977888604,0.794133938,1.579258165,0.746282561,0.944736285,0.933585694,0.820785553,1.549633957,0.694986719,0.955419701,-0.169115443,-0.381548403,0.207491078,-0.416262733,-0.410559824,-0.090932815,-0.065668068,-0.350731288,0.068038719,0.102489393,0.037321424,0.008738376,0.409438862,-1.129794528,0.098300301,0.104114375,-0.814199133,-0.833604446,-0.953059225,0.061726523,-0.880370886,-1.612139198,-0.763303727,-1.262947737,0.223735064,-1.593479479,0.281416033,0.449880656,-1.274831026,-1.406920596,-1.549323384,-1.237108444,0.223392308,-1.652302573,0.41147514,-0.05637736,-0.321214594,-0.378575347,-0.025488007,-1.003532429,0.444775029,-0.184493786
3/16/2003,-0.111730063,-0.328884759,-0.169643305,-0.5098,-0.8556,-1.1637,-0.7950,-0.0345,0.1015,0.0652,0.1089,-0.0250,-0.0628,0.1848,-0.4116,-0.4816,-0.8290,-0.9701,-0.7166,-0.0723,-0.1403,0.0087,0.0103,-0.1135,-0.1079,0.6119,-0.1473,-0.9950,-1.8577,-0.4260,-1.6159,-1.2182,-0.6028,0.1587,-0.0817,0.2466,0.0786,-0.0282,1.8848,0.7478,0.9114,1.5968,0.4460,1.0586,0.051729833,0.108576181,0.352013954,0.251882393,0.35151842,-0.407523918,-0.303136675,-0.23644742,-0.260436982,-0.039874504,-0.564041986,-0.176076325,-0.502826927,-0.452160921,-0.002640344,-0.200038132,-1.190503744,-0.084979367,-0.205473916,-0.392262612,-0.25304191,0.123563854,-0.027015473,0.07686893,0.251378967,0.032832417,0.032672982,0.33502145,0.410305248,0.120187346,0.218733671,-0.222618778,-0.45568655,-0.66867974,0.022440179,-0.718527672,-0.687106964,-0.760245063,-0.176227529,-0.257936302,-0.293192965,-0.092954998,0.735569153,-0.243347268,-1.488313475,-1.106641405,-1.500691144,0.952740827,0.779051656,1.542286577,0.687998087,0.977295812,0.946661684,0.847738021,1.571830725,0.707025401,0.959187028,-0.557003919,-0.415255406,0.034569916,-0.361061202,-0.396709934,0.262578979,-0.024494761,-0.102302344,0.289302894,0.075278966,0.179101273,0.017218977,0.347507336,-0.704191289,0.236298829,0.173431931,-1.339863399,-1.307407849,-1.962820686,-1.829767819,-0.978641327,-1.73800781,-0.312661448,-1.289834288,0.262144467,-1.57239211,0.00322937,-0.462935818,-1.4562713,-1.61431138,-1.670238329,-1.537784022,0.112920845,-1.635661208,-0.475972838,-0.122005142,-0.148115216,-0.490604343,0.566444791,-0.12544605,0.366497079,-0.121966058
3/23/2003,3.414475268,3.334712092,4.32874784,0.2883,0.5933,1.1364,2.0787,2.9163,3.1055,3.4996,3.3069,3.2200,2.8917,-0.3619,0.1227,0.3285,0.7676,1.1047,1.7733,2.9045,2.6099,1.8114,1.4508,1.4933,1.2242,-0.0678,-1.7996,0.1379,-1.3951,0.1267,0.2259,-5.0228,0.8347,2.9205,-2.2642,2.9335,2.5773,-0.6938,1.6510,2.0697,0.9819,1.8070,1.1342,0.9834,0.089497733,0.188327426,0.331461819,0.045175435,0.119738885,-0.472986987,-0.443548037,-0.368709347,-0.398712502,-0.099508197,-0.754116173,-0.286992449,-0.462085583,-0.473801799,-0.123325152,-0.33375053,-0.987868651,-0.256564562,-0.346130936,-0.277624215,-0.238594475,0.36745378,0.012198468,0.109931822,0.567973648,-0.009231386,0.125297871,0.495200578,0.396287189,0.45715981,0.19494889,-0.194555299,-0.459589209,-0.651977185,0.166981261,-0.822500093,-0.797670557,-0.844809762,-0.142669478,-0.226563875,-0.29574139,-0.044190282,0.849367293,-0.245934128,-1.61689617,-0.728431048,-1.593681463,0.92759305,0.763969375,1.50531499,0.629713614,1.00985534,0.959737674,0.874690489,1.594027493,0.719064082,0.962954355,-0.944892394,-0.448962409,-0.138351247,-0.305859672,-0.382860044,0.616090774,0.016678547,0.1461266,0.510567068,0.048068538,0.320881123,0.025699578,0.28557581,-0.27858805,0.374297357,0.242749486,-1.865527665,-1.781211252,-2.972582148,-3.721262161,-1.076911769,-1.863876422,0.137980832,-1.316720839,0.300553871,-1.55130474,-0.274957293,-1.375752292,-1.637711573,-1.821702164,-1.791153274,-1.838459599,0.002449382,-1.619019844,-1.363420815,-0.187632925,0.024984162,-0.60263334,1.158377589,0.75264033,0.288219129,-0.05943833
